date,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
2024-03-18-22:00,20003,2842,10280,2771,10146,3009,10622,10616,10370,10417,10620,10617,10604,10371,10581,10428,10038,20002,10450,2814
2024-03-19-12:09,2842,20003,10622,2771,10146,10616,10280,10620,10617,3009,10370,10417,10371,10581,2864,10428,10604,10450,2814,20002
2024-03-19-22:00,10622,2842,20003,2771,10616,10146,10280,10620,10617,3009,10370,10417,10371,10581,2864,10428,10604,10450,2814,20002
2024-03-20-12:10,10622,10616,10617,2771,10620,2842,2864,10581,10450,10428,10371,20003,2207,2814,20002,10370,10038,10560,20001,10039
2024-03-20-22:00,10622,10616,10617,2771,10620,2842,2864,10581,10450,10428,10371,20003,2814,2207,20002,10370,10560,10038,20001,10039
2024-03-21-12:10,10622,10616,10620,10617,2771,2842,2864,10450,10581,10428,2814,10371,20003,20002,10370,20001,10039,10560,2207,10038
2024-03-21-22:00,10622,10616,10620,10617,2771,2842,2864,10450,10581,10428,2814,10371,20003,20002,10370,20001,10039,10560,2207,10038
2024-03-22-12:09,10622,10616,10620,10617,2771,2842,2864,10581,10450,10428,10371,2814,20002,20003,20001,10370,10039,10560,2863,1500
2024-03-22-22:00,10622,10616,10620,10617,2771,2842,10581,2864,10450,10428,2814,10371,20002,20003,20001,10370,10039,10560,2863,1500
2024-03-23-12:11,10622,10616,10620,2771,10617,2842,10581,10450,2864,10428,10371,2814,20002,20003,20001,10370,10560,10039,2863,1500
2024-03-23-21:59,10622,10616,10620,10617,2771,2842,10581,10450,10428,2864,10371,2814,20002,20003,20001,10370,10560,10039,2863,10280
2024-03-24-12:09,10622,10616,10620,2771,10617,2842,10581,10450,10428,10371,2814,2864,20003,20001,10560,20002,10370,10039,2863,10038
2024-03-24-21:59,10622,10616,10620,10617,2771,2842,10581,10450,10428,10371,2814,2864,20003,20001,10560,10370,20002,10039,10038,2863
2024-03-25-12:10,10622,10616,10620,10617,2771,2842,10581,10450,10428,10371,2814,20003,2864,10560,10370,20001,20002,10038,2863,10280
2024-03-25-22:00,10622,10616,10617,10620,2771,10636,2842,10581,10428,10450,10639,10371,2814,20003,2864,10560,10370,10637,20001,10038
2024-03-26-12:09,10622,10616,10636,10617,2771,10620,10639,2842,10581,10428,10450,10637,10371,10638,20003,2814,2864,10641,10640,10642
2024-03-26-22:00,10622,10616,10636,10617,2771,10620,10639,2842,10581,10428,10637,10450,10371,10638,20003,2814,2864,10641,10640,10642
2024-03-27-12:11,10622,10616,10636,10639,2771,10617,10637,2842,10428,10581,10620,10638,10450,10641,10640,10642,20003,2814,10371,2864
2024-03-27-22:00,10622,10616,10636,10639,10617,2771,10637,10428,2842,10581,10620,10638,10450,10641,10640,10642,20003,2814,20002,10371
2024-03-28-12:09,10616,10622,10636,10639,10617,2771,2814,10428,2842,10581,10637,10620,20002,10638,10450,20003,10641,10640,10642,10371
2024-03-28-22:00,10616,10622,10636,10639,10617,2771,2814,10428,2842,10581,10637,10620,20002,10638,10450,20003,10641,10640,10642,20001
2024-03-29-12:10,10616,10622,10636,10639,10617,2771,2814,10428,2842,10581,10637,20003,10620,20001,20002,10450,10638,10371,10641,10640
2024-03-29-22:00,10616,10622,10636,10639,10617,2771,2814,10428,2842,10581,10637,20003,20001,10620,10450,20002,10638,10371,10641,10640
2024-03-30-12:08,10616,10622,10639,10636,10617,2771,2814,2842,10428,10581,20001,20003,10637,10620,20002,10450,10371,10638,10641,10640
2024-03-30-22:00,10616,10622,10639,10636,10617,2771,2814,2842,10428,10581,20001,20003,10637,10620,20002,10450,10371,10638,10641,10640
2024-03-31-12:10,10616,10622,10639,10636,2771,10617,2814,2842,10428,10581,20001,20003,10637,20002,10620,10371,10450,10638,10370,10641
2024-03-31-22:00,10616,10622,10639,2771,10617,10636,2814,2842,10428,10581,20001,20003,10637,10620,20002,10371,10450,10638,10370,10641
2024-04-01-12:10,10616,10622,10639,10617,2771,10636,2814,2842,10428,10581,20001,20003,20002,10637,10371,10620,10450,10638,10370,10641
2024-04-01-22:00,10616,10622,10639,10636,10617,2771,2814,2842,10428,10581,20003,20001,10637,20002,10450,10371,10620,10638,10645,10370
2024-04-02-12:09,10616,10622,10639,10636,10617,2771,2814,2842,10428,20003,10581,10645,20001,10637,10450,10371,20002,10620,10638,10370
2024-04-02-22:00,10616,10622,10639,10636,10617,2771,2814,2842,10428,10645,20003,10581,10637,20001,10450,10371,20002,10620,10638,10370
2024-04-03-12:10,10616,10622,10636,10639,10617,2771,10645,2842,20003,10428,10581,10637,20001,10450,10646,20002,2814,10371,10620,10638
2024-04-03-21:59,10616,10622,10636,10639,10617,2771,10645,20003,2842,10428,10581,10637,20001,10450,10646,2814,20002,10371,10620,10638
2024-04-04-12:10,10636,10616,10639,10622,10617,2771,10645,10637,2814,20003,2842,10428,10581,10646,20001,20002,10638,10450,10641,10642
2024-04-04-22:00,10636,10639,10616,10622,10617,2771,10645,10637,2814,20003,2842,10428,10646,10581,20001,10638,10641,10642,20002,10640
2024-04-05-12:11,10636,10639,10616,10622,2771,10617,10637,2814,10645,10646,20003,2842,10428,10581,10638,20001,10642,10641,10640,20002
2024-04-05-22:00,10636,10639,10616,10622,2771,10617,10637,10645,2814,10646,2842,20003,10428,10638,10581,20001,10642,10641,10640,20002
2024-04-06-12:10,10636,10639,10616,10622,2771,10637,10645,10617,2814,10646,10638,2842,10428,10641,10642,20003,10640,10581,20001,20002
2024-04-06-22:00,10636,10639,10616,10622,2771,10637,10645,10617,2814,10646,10638,2842,10428,10641,10642,20003,20001,10581,10640,20002
2024-04-07-12:11,10636,10639,10616,10622,2771,10617,10645,10637,2814,10646,2842,20001,10428,10638,10038,20003,10581,20002,10641,10642
2024-04-07-22:00,10636,10639,10616,10622,2771,10617,10645,10637,2814,10646,2842,20001,10038,10428,10638,20003,10581,10641,10642,20002
2024-04-08-12:10,10636,10639,10616,10622,2771,10617,2814,10645,10637,10038,10638,10646,2842,20001,10428,20003,10581,10642,10641,20002
2024-04-08-22:00,10636,10639,10616,10622,2771,10617,2814,10645,10637,10038,10638,2842,10646,20001,10428,10581,20003,10642,10039,10641
2024-04-09-12:11,10636,10639,10616,10622,2771,2814,10617,10645,10038,10638,10637,2842,20001,10646,10428,10039,10581,20003,10642,20002
2024-04-09-22:00,10636,10639,10616,10622,2771,10617,2814,10645,10038,10637,10638,2842,20001,10646,10428,10039,10581,20003,10642,20002
2024-04-10-12:09,10636,10639,10616,10622,2771,10038,10617,10645,10638,10637,2842,20001,10646,10428,10039,10581,2814,20003,20002,10450
2024-04-10-22:00,10636,10639,10622,10616,2771,10038,10617,10645,10638,10637,2842,20001,10646,10428,10581,2814,10039,20003,20002,10450
2024-04-11-12:09,10636,10622,10639,10616,2771,10038,10645,10617,2814,10637,2842,20001,10638,10646,10428,20002,10581,20003,10450,10039
2024-04-11-22:00,10636,10622,10639,10616,2814,2771,10038,10645,10617,10637,2842,20001,10646,10638,10428,20002,10581,20003,10450,10039
2024-04-12-12:09,10636,10622,10639,10616,2814,2771,10038,10645,10617,10637,2842,20001,10646,10428,10638,20002,10581,20003,10450,10371
2024-04-12-22:00,10636,10622,10639,10616,2814,2771,10038,10645,10617,10637,2842,20001,10646,10428,10638,20002,20003,10581,10450,10371
2024-04-13-12:09,10636,10622,10639,10616,2814,2771,10038,10645,10617,10637,20001,2842,10646,10428,10638,20002,20003,10581,10450,10371
2024-04-13-22:00,10636,10622,10639,10616,2814,2771,10038,10645,10617,20001,10637,2842,10646,10428,10638,20002,20003,10581,10450,10039
2024-04-14-12:32,10636,10639,10622,10616,2771,10038,2814,10645,10617,20001,10637,2842,10646,10428,10638,20003,20002,10039,10581,10450
2024-04-14-23:07,10636,10639,10622,10616,2771,2814,10038,10645,10617,20001,10637,2842,10646,10428,10638,20003,20002,10581,10039,10450
2024-04-15-12:24,10636,10639,10622,10616,2771,2814,10038,10645,10617,20001,10637,2842,10646,10428,10638,20002,20003,10039,10581,10371
2024-04-15-22:00,10636,10639,10622,10616,2771,2814,10038,10645,10617,20001,10637,2842,10646,10428,10638,20002,20003,10039,10581,10371
2024-04-16-12:09,10636,10639,10622,10616,2771,2814,10645,10038,10617,20001,10637,2842,10646,10428,20002,10638,20003,10581,10371,10450
2024-04-16-22:00,10636,10639,10622,10616,2771,10645,2814,10038,10617,10637,20001,2842,10646,10428,20002,10638,20003,10581,10450,10371
2024-04-17-12:11,10636,10622,10639,10616,10645,2771,10038,10617,10637,20001,10646,2842,10428,20002,2814,20003,10581,10638,10652,10450
2024-04-17-22:00,10636,10622,10639,10616,10645,2771,10038,10617,10637,20001,2842,10646,10428,20002,2814,20003,10581,10638,10652,10450
2024-04-18-12:10,10636,10622,10616,10645,10639,2771,10038,2814,10617,10637,20001,2842,10646,10428,20003,10652,10581,20002,10638,10450
2024-04-18-22:00,10636,10622,10616,10639,10645,2771,2814,10038,10617,10637,20001,2842,10646,10428,20003,10581,10652,20002,10638,10450
2024-04-19-12:09,10636,10639,10622,10616,10645,2814,2771,10038,10617,10637,20001,2842,10646,10428,20003,10581,10638,10652,20002,10450
2024-04-19-22:00,10636,10639,10622,10616,10645,2771,2814,10038,10617,10637,20001,2842,10646,10428,20003,10581,10638,20002,10652,10450
2024-04-20-12:10,10636,10639,10622,10616,2771,10645,2814,10038,10617,10637,20001,2842,10646,10428,10638,20003,10581,20002,10450,10039
2024-04-20-22:00,10636,10639,10622,10616,10645,2771,2814,10038,10617,10637,20001,2842,10646,10428,10638,20003,10581,20002,10450,10039
2024-04-21-12:09,10636,10639,10622,10616,2771,10645,10038,2814,10617,10637,20001,10646,2842,10638,10428,10581,20003,10039,20002,10450
2024-04-21-21:59,10636,10639,10622,10616,10645,2771,10038,2814,10617,10637,10646,20001,2842,10638,10428,10581,20003,10039,20002,10450
2024-04-22-12:09,10636,10639,10622,10616,2771,10645,2814,10038,10617,10637,20001,2842,10646,10638,10039,10428,10581,20003,10450,20002
2024-04-22-22:00,10636,10639,10622,10616,2771,10645,10658,2814,10038,10617,10637,2842,10371,10428,20001,10646,10039,10638,10581,10450
2024-04-23-12:09,10636,10622,10639,10658,10616,2771,10645,2814,10617,10038,10371,10428,2842,10660,2868,10581,10637,10450,10039,10646
2024-04-23-22:00,10636,10658,10622,10639,10616,2771,10645,10617,2814,10038,10371,10660,10428,2842,2868,10581,10450,10039,10637,20001
2024-04-24-12:09,10658,10622,10639,10616,10636,2771,10617,10371,10660,10645,10038,2868,10428,10450,2842,10581,10039,1703,20001,2814
2024-04-24-22:00,10658,10622,10639,10616,10636,2771,10617,10371,10660,10645,10038,10428,2868,2842,10450,10581,10039,20001,1703,2814
2024-04-25-12:10,10658,10622,10639,10616,10636,2771,10617,10371,10660,10038,10645,10428,2842,10450,2868,10581,10039,20001,2814,20003
2024-04-25-22:00,10658,10622,10639,10616,10636,2771,10617,10371,10660,10038,10645,10428,2842,10450,2868,10581,10039,20001,2814,20003
2024-04-26-12:09,10658,10622,10616,10639,10636,2771,10617,10371,10660,10038,10428,10645,2842,10450,20001,10581,2868,2814,10039,20003
2024-04-26-22:00,10658,10622,10616,10639,10636,2771,10617,10371,10660,10038,10428,10645,2842,10450,20001,10581,2868,2814,10039,20003
